2018-02-25 17:52:31.568800: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.748762: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.19GiB
2018-02-25 17:52:31.929018: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.06GiB
2018-02-25 17:52:31.929188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:52:31.929228: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:52:31.929243: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:52:31.929251: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:52:31.929264: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:52:31.929274: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 146000	logppl: 6.902	valid ppl: 1084.902	test ppl: 1046.941
iter: 147000	logppl: 6.717	valid ppl: 1095.269	test ppl: 1055.982
iter: 148000	logppl: 6.615	valid ppl: 1095.174	test ppl: 1059.504
iter: 149000	logppl: 6.660	valid ppl: 1094.634	test ppl: 1056.877
iter: 150000	logppl: 6.437	valid ppl: 1088.735	test ppl: 1052.782
iter: 151000	logppl: 6.548	valid ppl: 1133.379	test ppl: 1092.854
iter: 152000	logppl: 7.059	valid ppl: 1097.335	test ppl: 1063.581
iter: 153000	logppl: 6.335	valid ppl: 1132.963	test ppl: 1087.675
iter: 154000	logppl: 6.289	valid ppl: 1104.708	test ppl: 1061.452
iter: 155000	logppl: 7.061	valid ppl: 1110.968	test ppl: 1073.687
iter: 156000	logppl: 6.989	valid ppl: 1097.240	test ppl: 1055.054
iter: 157000	logppl: 6.537	valid ppl: 1093.002	test ppl: 1062.052
iter: 158000	logppl: 6.301	valid ppl: 1096.048	test ppl: 1061.563
iter: 159000	logppl: 6.453	valid ppl: 1097.999	test ppl: 1063.947
iter: 160000	logppl: 6.840	valid ppl: 1122.543	test ppl: 1085.365
iter: 161000	logppl: 6.898	valid ppl: 1123.955	test ppl: 1097.276
iter: 162000	logppl: 6.223	valid ppl: 1117.935	test ppl: 1080.005
iter: 163000	logppl: 7.158	valid ppl: 1113.392	test ppl: 1068.647
iter: 164000	logppl: 7.182	valid ppl: 1103.339	test ppl: 1067.060
iter: 165000	logppl: 7.164	valid ppl: 1103.781	test ppl: 1067.224
iter: 166000	logppl: 6.512	valid ppl: 1108.175	test ppl: 1066.813
iter: 167000	logppl: 6.839	valid ppl: 1108.014	test ppl: 1074.379
iter: 168000	logppl: 6.764	valid ppl: 1110.240	test ppl: 1078.573
iter: 169000	logppl: 7.237	valid ppl: 1118.368	test ppl: 1087.452
iter: 170000	logppl: 6.833	valid ppl: 1143.986	test ppl: 1107.028
iter: 171000	logppl: 6.441	valid ppl: 1112.844	test ppl: 1073.974
iter: 172000	logppl: 6.791	valid ppl: 1130.672	test ppl: 1082.437
iter: 173000	logppl: 6.783	valid ppl: 1118.015	test ppl: 1075.380
iter: 174000	logppl: 6.925	valid ppl: 1112.257	test ppl: 1070.739
iter: 175000	logppl: 7.134	valid ppl: 1125.857	test ppl: 1083.589
iter: 176000	logppl: 6.280	valid ppl: 1116.326	test ppl: 1086.045
iter: 177000	logppl: 6.807	valid ppl: 1121.456	test ppl: 1085.328
iter: 178000	logppl: 6.922	valid ppl: 1117.768	test ppl: 1085.725
iter: 179000	logppl: 7.186	valid ppl: 1169.069	test ppl: 1130.996
iter: 180000	logppl: 7.040	valid ppl: 1129.034	test ppl: 1094.618
iter: 181000	logppl: 6.540	valid ppl: 1140.237	test ppl: 1098.068
iter: 182000	logppl: 7.385	valid ppl: 1139.754	test ppl: 1099.222
iter: 183000	logppl: 6.749	valid ppl: 1125.360	test ppl: 1093.374
iter: 184000	logppl: 6.590	valid ppl: 1127.343	test ppl: 1091.302
iter: 185000	logppl: 5.960	valid ppl: 1125.174	test ppl: 1091.010
iter: 186000	logppl: 7.285	valid ppl: 1128.106	test ppl: 1091.113
iter: 187000	logppl: 6.987	valid ppl: 1123.621	test ppl: 1089.199
